바사, 81, 195
마사, 46, 169
타아, 50, 172
자차, 60, 159
라자, 52, 186
파바, 78, 161
차차, 46, 152
라다, 84, 193
바사, 56, 191
하자, 41, 151
나바, 62, 156
사아, 78, 189
타타, 82, 148
사아, 70, 168
가카, 79, 188
마마, 68, 178
라다, 89, 144
아라, 77, 151
나바, 74, 179
바파, 94, 195
파카, 73, 177
자카, 85, 164
사가, 47, 162
파사, 64, 154
나사, 93, 141
아타, 87, 162
카차, 54, 189
라마, 86, 154
타타, 92, 141
파바, 76, 156
나타, 93, 170
아카, 92, 192
타하, 77, 192
사파, 84, 177
카카, 46, 192
나차, 51, 147
가라, 63, 166
마바, 79, 174
타라, 61, 163
카마, 91, 195
자라, 91, 149
바바, 97, 176
아가, 61, 150
라바, 43, 169
가사, 75, 145
아바, 54, 165
타파, 73, 180
카차, 62, 188
아바, 45, 155
나파, 97, 162
라마, 45, 161
타카, 56, 189
파카, 58, 172
라카, 44, 180
마카, 99, 199
마차, 44, 162
자차, 48, 188
마라, 95, 169
사다, 89, 196
하바, 52, 155
타차, 90, 186
바가, 77, 196
사자, 45, 169
자바, 45, 157
타아, 45, 181
아차, 67, 161
아아, 64, 152
다사, 44, 197
아바, 67, 177
아하, 83, 191
차하, 88, 193
타파, 40, 191
다차, 95, 196
바다, 72, 156
다카, 41, 157
사라, 70, 170
마바, 95, 185
카아, 89, 164
바사, 54, 156
라다, 97, 159
아아, 47, 182
파파, 87, 143
아바, 86, 181
가가, 77, 197
자다, 40, 152
타사, 60, 178
사다, 78, 156
차마, 94, 171
아아, 51, 183
자타, 66, 181
가카, 62, 165
아타, 47, 188
나나, 64, 170
타아, 99, 178
사나, 75, 196
자바, 78, 186
카가, 75, 193
나다, 81, 197
파아, 76, 153
하다, 67, 191
바바, 71, 169
가마, 93, 179
다바, 90, 187
자하, 40, 193
마차, 49, 175
바타, 90, 174
다차, 71, 140
타마, 54, 174
바가, 71, 153
자카, 79, 153
자파, 75, 163
하라, 99, 176
가바, 69, 196
다파, 41, 190
다차, 82, 144
파파, 79, 187
아사, 86, 144
다라, 41, 144
나가, 77, 171
자마, 67, 191
아마, 86, 147
가마, 86, 157
자하, 66, 141
라아, 83, 146
사카, 95, 155
가파, 47, 188
바가, 46, 174
카마, 70, 149
나다, 42, 155
마카, 64, 158
자바, 57, 151
타마, 48, 178
하바, 96, 178
타사, 74, 195
사사, 54, 192
바파, 81, 184
차카, 64, 177
나바, 48, 157
다파, 51, 152
차마, 87, 193
마아, 94, 152
가타, 49, 184
차가, 56, 172
마나, 80, 167
나아, 75, 198
하다, 65, 170
라바, 73, 167
차다, 87, 193
파바, 70, 167
아라, 85, 150
가타, 78, 188
차나, 92, 155
라차, 90, 196
가파, 90, 191
파사, 86, 188
타타, 96, 168
하라, 69, 164
나사, 49, 157
라마, 98, 174
라마, 42, 144
가나, 55, 195
하나, 77, 189
아차, 70, 154
가타, 80, 152
가자, 87, 163
다바, 68, 140
자다, 59, 160
다바, 46, 181
라다, 91, 166
카사, 49, 190
아가, 89, 164
라차, 71, 158
사타, 47, 159
사나, 41, 145
카사, 63, 147
라차, 67, 149
다사, 66, 187
나파, 91, 199
자나, 56, 156
파사, 88, 152
하다, 67, 187
가가, 92, 167
하바, 93, 193
차아, 57, 159
타차, 71, 191
마차, 48, 149
나파, 41, 168
가마, 74, 185
파아, 97, 159
타가, 57, 162
다나, 58, 140
바가, 60, 145
가파, 58, 185
마타, 76, 187
차가, 75, 170
마카, 91, 195
카가, 48, 172
가다, 77, 142
바사, 94, 164
카가, 41, 153
바바, 74, 171
나카, 87, 157
바라, 77, 140
다다, 50, 159
가차, 73, 183
아바, 67, 172
다가, 74, 170
파라, 57, 170
가자, 55, 150
자자, 97, 158
바아, 96, 195
바하, 63, 165
나바, 87, 163
바가, 55, 168
차라, 43, 145
나나, 92, 170
사사, 75, 147
카다, 93, 193
나가, 91, 148
타마, 48, 183
카바, 49, 167
타자, 67, 198
마자, 73, 160
하타, 41, 199
마파, 45, 173
가다, 43, 153
카파, 46, 144
마라, 65, 198
차나, 90, 175
사나, 59, 146
파카, 65, 199
파다, 46, 150
하라, 62, 179
차나, 93, 169
라자, 85, 175
카사, 69, 153
라카, 57, 143
가하, 92, 143
자하, 74, 164
아아, 58, 149
자다, 50, 157
나가, 81, 143
라다, 73, 185
가카, 44, 165
라자, 85, 155
타나, 71, 173
라가, 97, 155
사하, 42, 189
파가, 40, 160
사다, 40, 153
마타, 64, 148
카라, 77, 177
차가, 56, 198
나나, 94, 144
타가, 65, 163
사사, 75, 166
바나, 60, 168
가차, 70, 173
라자, 40, 186
카사, 96, 162
마자, 91, 142
하아, 81, 160
타바, 58, 175
가타, 82, 167
다바, 69, 146
바사, 54, 140
파차, 68, 170
바바, 68, 172
차바, 76, 173
마다, 93, 165
차라, 93, 164
자자, 93, 164
라가, 74, 140
나차, 57, 178
카가, 71, 169
사아, 83, 147
바마, 60, 166
나마, 90, 156
다자, 63, 187
가가, 52, 178
마가, 71, 179
바하, 64, 178
카가, 89, 157
바파, 47, 171
바마, 67, 182
가사, 47, 194
카타, 73, 150
카하, 87, 186
바하, 69, 153
하마, 81, 154
아하, 63, 159
나사, 47, 191
바타, 58, 171
라파, 47, 198
하바, 42, 191
가카, 95, 186
사차, 91, 191
아사, 81, 195
나바, 80, 140
라아, 70, 149
차자, 76, 192
가카, 72, 190
가타, 77, 178
타아, 58, 151
파차, 43, 155
차나, 53, 186
파자, 56, 165
하카, 86, 172
다라, 88, 173
나라, 68, 160
파마, 84, 181
바가, 51, 156
나파, 76, 189
하하, 56, 170
파카, 80, 198
차타, 67, 141
바다, 66, 168
카타, 99, 176
파사, 59, 195
하다, 46, 191
자파, 87, 191
사차, 68, 162
하바, 94, 189
마차, 88, 190
가바, 44, 166
차타, 44, 176
하다, 62, 194
바차, 74, 172
자자, 94, 155
차다, 72, 167
가사, 79, 171
파타, 45, 195
다파, 91, 192
타마, 98, 140
사마, 94, 159
라카, 74, 142
자나, 48, 144
아카, 86, 198
파나, 56, 198
차타, 95, 149
마아, 62, 147
가가, 82, 143
나차, 96, 167
파사, 47, 166
자바, 46, 147
파사, 81, 172
사나, 62, 194
가카, 59, 187
나아, 96, 182
다나, 78, 162
파자, 87, 171
가라, 68, 162
라다, 92, 148
라사, 85, 155
라가, 83, 152
아나, 97, 141
자자, 81, 161
차가, 65, 150
하자, 53, 182
나카, 96, 151
사자, 94, 149
가나, 84, 197
나사, 61, 192
하나, 60, 185
다카, 45, 196
카카, 73, 199
다자, 59, 153
하차, 96, 145
바바, 97, 173
라마, 48, 198
타사, 95, 165
자파, 93, 192
하가, 56, 191
차나, 48, 155
아파, 55, 154
바마, 60, 180
아라, 73, 147
라하, 61, 142
하나, 63, 182
아파, 71, 181
다파, 65, 199
하차, 94, 170
하가, 89, 193
자라, 91, 154
다하, 78, 192
파자, 55, 148
마라, 61, 149
마다, 97, 147
바나, 46, 169
카타, 56, 169
카라, 88, 190
차다, 44, 180
바바, 93, 164
파카, 56, 156
마사, 51, 197
마가, 91, 167
라카, 76, 183
아가, 57, 157
바타, 62, 194
자차, 55, 192
바아, 65, 155
자라, 48, 148
파마, 61, 143
아하, 96, 199
타카, 79, 177
하가, 81, 197
차가, 88, 173
파파, 69, 167
사자, 67, 185
파자, 62, 170
하가, 74, 178
하사, 66, 156
카아, 85, 181
자마, 60, 144
차하, 48, 175
마마, 46, 165
나타, 85, 196
사사, 75, 186
다라, 49, 164
바타, 50, 175
아나, 99, 151
타타, 87, 147
마파, 90, 187
마하, 87, 175
나카, 91, 149
마타, 68, 179
자가, 97, 198
나바, 50, 160
나가, 96, 191
파타, 42, 145
하하, 99, 161
다하, 99, 143
차하, 64, 190
바나, 87, 187
나다, 97, 187
타파, 75, 151
파차, 69, 155
타바, 58, 182
마차, 59, 161
